iso3,year,indicator,domain,direction,value,z
AUS,1990,gdp_pc,Material,up,36267.7410592234,-0.7105648634080138
AUS,1990,household_cons,Material,up,19497.8861845759,0.03518325252683376
AUS,1990,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1990,life_expectancy,Health,up,76.9946341463415,-0.6309015712400968
AUS,1990,infant_mort,Health,down,7.6,-1.3585692016307398
AUS,1990,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1990,child_mort,Health,down,9.2,-1.3362419195947755
AUS,1990,schooling,Knowledge,up,11.44,-0.0272100636390098
AUS,1990,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1990,internet_users,Knowledge,up,0.585,-1.4891610140584144
AUS,1990,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1990,homicides,Safety,down,2.18377608517614,-0.17040896505103253
AUS,1990,suicide,Safety,down,12.83,0.3700532449141532
AUS,1990,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1990,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1990,gini,Equality,down,32.6,-0.23587674775231554
AUS,1990,gdi,Equality,up,0.963,-0.5846616747253043
AUS,1990,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1990,vdem_libdem,Freedom,up,0.851,0.6426008352185111
AUS,1990,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1990,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1990,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1990,work_hours,Work,down,1740.63,-0.035261647306417454
AUS,1990,unemployment,Work,down,9.586,-0.7194112546201069
AUS,1990,employment,Work,up,57.218,-0.04097706639909294
AUS,1990,pm25,Environment,down,6.47519645040887,1.2407395982358687
AUS,1990,co2_pc,Environment,down,16.235903,-1.8401481176985508
AUS,1990,renewable,Environment,up,1.6692574,-0.5676522788727646
AUS,1990,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1990,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1990,adolescent_fert,Wellbeing,down,22.426,-1.000960250739345
AUS,1991,gdp_pc,Material,up,35670.6678637309,-0.7455766339745438
AUS,1991,household_cons,Material,up,19440.4207374747,0.02848993340253783
AUS,1991,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1991,life_expectancy,Health,up,77.2756097560976,-0.5437363741159726
AUS,1991,infant_mort,Health,down,7.1,-1.1354533653154513
AUS,1991,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1991,child_mort,Health,down,8.7,-1.153047462876137
AUS,1991,schooling,Knowledge,up,11.453999999999999,-0.016014602581696163
AUS,1991,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1991,internet_users,Knowledge,up,1.1,-1.4746596357286539
AUS,1991,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1991,homicides,Safety,down,1.95929365734864,-0.07016963566247478
AUS,1991,suicide,Safety,down,12.83,0.3700532449141532
AUS,1991,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1991,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1991,gini,Equality,down,32.6,-0.23587674775231554
AUS,1991,gdi,Equality,up,0.962,-0.6283242068224906
AUS,1991,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1991,vdem_libdem,Freedom,up,0.851,0.6426008352185111
AUS,1991,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1991,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1991,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1991,work_hours,Work,down,1727.68,0.013402324769359016
AUS,1991,unemployment,Work,down,9.586,-0.7194112546201069
AUS,1991,employment,Work,up,57.218,-0.04097706639909294
AUS,1991,pm25,Environment,down,6.37706956375606,1.2552892948230705
AUS,1991,co2_pc,Environment,down,16.10294,-1.8045810294769762
AUS,1991,renewable,Environment,up,1.760721,-0.561811077538456
AUS,1991,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1991,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1991,adolescent_fert,Wellbeing,down,22.274,-0.9859457377796113
AUS,1992,gdp_pc,Material,up,35426.2848289008,-0.7599070088940977
AUS,1992,household_cons,Material,up,19680.2468051168,0.0564238047291919
AUS,1992,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1992,life_expectancy,Health,up,77.3780487804878,-0.5119573959978136
AUS,1992,infant_mort,Health,down,6.7,-0.9569606962632207
AUS,1992,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1992,child_mort,Health,down,8.2,-0.9698530061574984
AUS,1992,schooling,Knowledge,up,11.468,-0.004819141524381104
AUS,1992,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1992,internet_users,Knowledge,up,1.77,-1.455793764891878
AUS,1992,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1992,homicides,Safety,down,1.71516925030892,0.03884053090541842
AUS,1992,suicide,Safety,down,12.83,0.3700532449141532
AUS,1992,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1992,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1992,gini,Equality,down,32.6,-0.23587674775231554
AUS,1992,gdi,Equality,up,0.963,-0.5846616747253043
AUS,1992,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1992,vdem_libdem,Freedom,up,0.851,0.6426008352185111
AUS,1992,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1992,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1992,civil_liberties,Freedom,up,0.952,0.383041793576417
